Order ID,Order Date,Ship Mode,Customer ID,Segment,City,State,Region,Product ID,,,,,,,,#CALC!
CA-2017-152156,8/11/2017,Second Class,CG-12520,Consumer,Henderson,Kentucky,South,TEC-MA-10004458,,,,,,,,
CA-2017-152156,8/11/2017,Second Class,CG-12520,Consumer,Henderson,Kentucky,South,TEC-MA-10002412,,,,,,,,
CA-2017-138688,12/6/2017,Second Class,DV-13045,Corporate,Los Angeles,California,West,TEC-AC-10002380,,,,,,,,
US-2016-108966,11/10/2016,Standard Class,SO-20335,Consumer,Fort Lauderdale,Florida,South,TEC-MA-10004552,,,,,,,,
US-2016-108966,11/10/2016,Standard Class,SO-20335,Consumer,Fort Lauderdale,Florida,South,OFF-FA-10000089,,,,,,,,
CA-2015-115812,9/6/2015,Standard Class,BH-11710,Consumer,Los Angeles,California,West,OFF-PA-10001246,,,,,,,,
CA-2015-115812,9/6/2015,Standard Class,BH-11710,Consumer,Los Angeles,California,West,TEC-PH-10001949,,,,,,,,
,,,,,,,,,,,,,,,,
CA-2015-115812,9/6/2015,Standard Class,BH-11710,Consumer,Los Angeles,California,West,OFF-AR-10003477,,,,,,,,
CA-2015-115812,9/6/2015,Standard Class,BH-11710,Consumer,Los Angeles,California,West,TEC-MA-10002981,,,,,,,,
CA-2015-115812,9/6/2015,Standard Class,BH-11710,Consumer,Los Angeles,California,West,OFF-PA-10000210,,,,,,,,
CA-2015-115812,9/6/2015,Standard Class,BH-11710,Consumer,Los Angeles,California,West,TEC-MA-10004458,,,,,,,,
CA-2015-115812,9/6/2015,Standard Class,BH-11710,Consumer,Los Angeles,California,West,TEC-MA-10002937,,,,,,,,
CA-2018-114412,15/04/2018,Standard Class,AA-10480,Consumer,Concord,North Carolina,South,OFF-PA-10001281,,,,,,,,
CA-2017-161389,5/12/2017,Standard Class,IM-15070,Consumer,Seattle,Washington,West,TEC-AC-10002380,,,,,,,,
US-2016-118983,22/11/2016,Standard Class,HP-14815,Home Office,Fort Worth,Texas,Central,OFF-EN-10004206,,,,,,,,
US-2016-118983,22/11/2016,Standard Class,HP-14815,Home Office,Fort Worth,Texas,Central,FUR-FU-10002874,,,,,,,,
CA-2015-105893,11/11/2015,Standard Class,PK-19075,Consumer,Madison,Wisconsin,Central,OFF-AP-10003914,,,,,,,,
CA-2015-167164,13/05/2015,Second Class,AG-10270,Consumer,West Jordan,Utah,West,TEC-MA-10003353,,,,,,,,
CA-2015-143336,27/08/2015,Second Class,ZD-21925,Consumer,San Francisco,California,West,OFF-PA-10001661,,,,,,,,
CA-2015-143336,27/08/2015,Second Class,ZD-21925,Consumer,San Francisco,California,West,TEC-MA-10004125,,,,,,,,
